,a330-200s,ph-aob,ph-aoc,ph-aod,a330-300s,ph-akb,ph-akd,ph-ake,ph-akf,b7772s,ph-bqc,ph-bqf,ph-bqk,ph-bqg,ph-bqh,ph-bqn,ph-bqp,ph-bqa,ph-bqb,ph-bqd,ph-bqi,ph-bql,ph-bqm,ph-bqo,b787-900s,ph-bhd,ph-bhe,ph-bhf,ph-bhg,ph-bhh,ph-bhi,ph-bhl,ph-bhn,ph-bho,b737-700s,ph-bgi,ph-bgq,ph-bxu,ph-bxa,ph-bxb,ph-bxc,ph-bxd,ph-bxe,ph-bxf,ph-bxk,ph-bxm,ph-bxl,ph-bxv,ph-bxy,ph-bxz,ph-bga
destination,a3302-damamsterdam,a3302-potsdamerplatz,a3302-placedelaconcorde,a3302-piazzadelduomo,a3303-timessquare,a3303-piazzanavona,a3303-plazadelacatedral,a3303-pracadorossio,a3303-hofplein,b7772-epidaurus,b7772-chichen-itza,b7772-ferraracity,b7772-kilimanjaro,b7772-galapagos-islands,b7772-hadrianswall,b7772-nahanni-national-nark,b7772-pontdugard,b7772-albertplesman,b7772-borobudur,b7772-darjeeling-railway,b7772-iguazu-falls,b7772-litomysyl-castle,b7772-macchu-picchu,b7772-old-rauma,b7879-anjer,b7879-bougainvillea,b7879-dahlia,b7879-hibiscus,b7879-mimosa,b78789-jasmijn,b7879-lavandel,b7879-lavandel,b7879-morgenster,b7879-orchid,b7377-greatwhiteherron,b7377-finch,b7377-goldenoriole,b7378-albatros,b7378-zwaan,b7378-valk, b7378-korhoen,b7378-arend,b7378-havik,b7378-zwaluw,b7378-gierzwaluw,b7378-kluut,b7378-sperwer,b7378-roodworstje,b7378-fuut,b7378-uil,b7378-tureluur
miami,50,50,50,50,75,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boston,50,50,50,50,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calgary,50,50,50,50,100,100,100,100,100,50,50,75,75,75,50,75,50,50,50,75,50,50,75,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
houston,50,50,50,50,75,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mumbai,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quito,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osaka,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,75,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dubai,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,75,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bengaluru,50,50,50,50,50,50,50,50,50,75,75,50,50,50,50,50,75,75,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riodejaneiro,25,25,25,25,25,25,25,25,25,75,75,50,75,50,75,50,75,75,50,75,50,50,50,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bangkok,25,25,25,25,25,25,25,25,25,75,50,50,50,75,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guayaquil,25,25,25,25,25,25,25,25,25,75,50,75,50,50,50,50,50,50,75,50,50,50,75,75,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newyork,50,50,50,50,50,50,50,50,50,75,75,50,50,50,50,50,75,50,50,75,75,50,50,50,75,50,50,50,50,50,50,50,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shanghai,25,25,25,25,25,25,25,25,25,75,50,50,50,50,50,75,50,50,75,50,75,75,50,75,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daressalaam,50,50,50,50,50,50,50,50,50,50,75,50,50,75,50,50,75,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seoul,25,25,25,25,25,25,25,25,25,50,75,75,75,75,75,50,50,50,75,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buenosaires,0,0,0,0,0,0,0,0,0,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,75,75,50,50,75,75,50,75,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zanzibar,50,50,50,50,50,50,50,50,50,50,50,75,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johannesburg,25,25,25,25,25,25,25,25,25,25,25,75,50,50,75,50,75,50,50,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cartagena,50,50,50,50,50,50,50,50,50,50,50,75,75,50,50,50,50,50,50,50,50,50,75,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bogota,50,50,50,50,50,50,50,50,50,50,50,75,75,50,50,50,50,50,50,50,50,50,75,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saltlakecity,25,25,25,25,25,25,25,25,25,50,50,50,75,50,50,75,75,50,75,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexicocity,25,25,25,25,25,25,25,25,25,50,50,50,75,75,50,75,50,50,50,50,75,75,50,50,75,75,75,50,50,75,75,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taipei,25,25,25,25,25,25,25,25,25,50,50,50,75,50,75,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,75,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manila,25,25,25,25,25,25,25,25,25,50,50,50,75,50,75,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,75,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tokyo,25,25,25,25,25,25,25,25,25,50,50,50,75,50,50,50,50,50,75,50,50,50,75,50,50,50,50,75,75,50,75,75,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saopaolo,25,25,25,25,25,25,25,25,25,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accra,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
losangeles,25,25,25,25,25,25,25,25,25,50,50,50,50,50,75,50,75,75,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lima,25,25,25,25,25,25,25,25,25,50,50,50,50,50,50,75,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nairobi,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panamacity,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,75,50,50,50,50,50,75,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sanjosecr,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hongkong,25,25,25,25,25,25,25,25,25,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,75,50,50,50,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capetown,25,25,25,25,25,25,25,25,25,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,75,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paramaribo,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newdelhi,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicago,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,75,50,50,50,50,75,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santiago,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,75,50,50,50,75,50,75,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beijing,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,75,75,50,50,50,75,50,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cancun,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kualalumpur,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,75,50,50,75,75,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jakarta,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,75,75,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
istanbul,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,100,100,100,50,50,50,50,50,50,75,50,50,50,50,50,75,50
newcastle,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,100,100,100,50,75,50,75,75,50,50,50,75,50,75,75,50,50
berlin,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,100,100,100,50,75,50,50,75,75,50,75,50,50,75,75,75,75
oslo,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,50,50,50,50,75,50,75,75,50,50,75,50,50,50,50,50
porto,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,50,75,75,50,50,50,50,75,50,50,75,75,50,50,50,50
milan,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,75,75,75,75,50,50,75,50,75,50,50,75,50,50,50,50
gothenburg,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,75,75,50,75,50,50,50,50,75,50,50,50,50,50,50,50
bucharest,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,75,75,50,50,50,75,50,50,50,50,50,50,50,50,50,75
malaga,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
prague,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,50,75,50,75,50,50,75,50,75,50,75,50,50,50,75,75
munich,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,75,75,75,50,50,75,50,50,50,50,50,75,50,50,50,50
birmingham,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,50,75,50,75,50,50,75,75,50,50,75,50,50,75,75,50
glasgow,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,75,50,75,50,50,75,50,50,50,50,50,75,50,75,50,50
dublin,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,75,50,50,75,50,50,50,50,50,50,75,50,50,75,50,50,50
billund,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,50,50,50,50,75,50,50,50,75,75,50,50,50,50,75
nice,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,75,50,50,50,75,75,75,50,75,50,50,50,75,50,50
bilbao,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50
paris,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,50,50,50,50,75,75,50,50,75,50,75,50,50,75,50
tolouse,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50
venice,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,75,50,50,50,50,50,75,50,50,75,75,50,75,50,50
vienna,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,50,50,75,50,50,75,50,75,50,75,50,75,50,50,75
stockholm,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,50,75,50,75,75,75,50,75,50,75,50,75,75,75,75
warsaw,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,50,50,50,75,50,75,50,75,75,50,50,50,75,50,75
aberdeen,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,75,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50
london,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,75,75,75,50,75,50,50,75,75,50,75,75,50,50,75
manchester,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,75,75,75,50,50,50,50,75,75,50,75,75,75,50,75
copenhagen,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,75,75,75,50,50,50,50,50,75,75,50,75,75,75,75
aarhus,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50
bologna,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50
geneva,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,75,75,50,50,50,75,50,75,50,50,50,50,50,50,75
lisbon,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100
madrid,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100
barcelona,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,75,50,75,75,75,75,50,50,75,50,75,75,50,75
helsinki,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,75,50,50,50,75,75,75,75,50,75,75,75,75,75
